Time (s),ax,ay,az,gx,gy,gz
9.17290067,-10.06905079,-12.58995056,1.35495007,-1.783100009,1.417487502,0.6654999852
9.19290067,-10.06905079,-12.58995056,1.35495007,-1.783100009,1.417487502,0.6654999852
9.21290067,-4.726050377,-12.03405094,6.313950062,-1.783100009,1.417487502,0.6654999852
9.23290067,-4.726050377,-12.03405094,6.313950062,-1.783100009,1.417487502,0.6654999852
9.25290067,-4.726050377,-12.03405094,6.313950062,0.06984999776,-0.1621125042,2.226537466
9.27290067,-4.726050377,-12.03405094,6.313950062,0.06984999776,-0.1621125042,2.226537466
9.29290067,-4.726050377,-12.03405094,6.313950062,3.681287527,-0.7760499716,-0.7519875169
9.31290067,-4.726050377,-12.03405094,6.313950062,3.681287527,-0.7760499716,-0.7519875169
9.33290067,-4.726050377,-12.03405094,6.313950062,3.681287527,-0.7760499716,-0.7519875169
9.35290067,19.78395081,-3.301950216,-1.306050062,3.106812477,-0.3055250049,-2.125887394
9.37290067,19.78395081,-3.301950216,-1.306050062,3.106812477,-0.3055250049,-2.125887394
9.39290067,7.854000568,6.999000549,-10.91895008,3.106812477,-0.3055250049,-2.125887394
9.39290067,7.854000568,6.999000549,-10.91895008,3.106812477,-0.3055250049,-2.125887394
9.43290067,7.854000568,6.999000549,-10.91895008,3.106812477,-0.3055250049,-2.125887394
9.45290067,3.736950159,-2.785050154,0.913950026,-3.919437408,9.859575272,-1.926100016
9.47290067,3.736950159,-2.785050154,0.913950026,-3.919437408,9.859575272,-1.926100016
9.49290067,-0.9540000558,-33.04095078,-10.00005054,-4.417600155,6.80267477,-1.487887502
9.51290067,-0.9540000558,-33.04095078,-10.00005054,-4.417600155,6.80267477,-1.487887502
9.53290067,-0.9540000558,-33.04095078,-10.00005054,-4.417600155,6.80267477,-1.487887502
9.55290067,-11.65800095,-39.07305145,11.04405022,-4.417600155,6.80267477,-1.487887502
9.57290067,-11.65800095,-39.07305145,11.04405022,-4.417600155,6.80267477,-1.487887502
9.59290067,-11.65800095,-39.07305145,11.04405022,3.306187391,-3.945562363,2.25266242
9.61290067,-11.65800095,-39.07305145,11.04405022,3.306187391,-3.945562363,2.25266242
9.63290067,-11.65800095,-39.07305145,11.04405022,2.316324949,-3.864574909,3.353212595
9.65290067,-11.65800095,-39.07305145,11.04405022,2.316324949,-3.864574909,3.353212595
9.67290067,-11.65800095,-39.07305145,11.04405022,2.316324949,-3.864574909,3.353212595
9.69290067,1.228050113,1.771050096,2.982000113,2.028262377,-2.651000023,2.441037416
9.71290067,1.228050113,1.771050096,2.982000113,2.028262377,-2.651000023,2.441037416
9.73290067,4.33095026,1.254000068,1.968000054,1.685199976,-1.906299949,1.669662476
