"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.073037864E0,4.578749835E-2,4.523750022E-2,1.773750037E-2
7.093037864E0,4.179999977E-2,3.808749840E-2,-3.987499978E-3
7.113037864E0,4.015000165E-2,2.186249942E-2,-2.021249942E-2
7.133037864E0,3.299999982E-2,2.516249940E-2,-2.612499986E-3
7.153037864E0,3.011249937E-2,2.199999988E-2,8.249999955E-4
7.173037864E0,2.089999989E-2,1.869999990E-2,1.374999993E-3
7.193037864E0,1.594999991E-2,-5.087499972E-3,-1.842499897E-2
7.213037864E0,9.487500414E-3,-1.773750037E-2,-2.804999985E-2
7.233037864E0,-5.224999972E-3,-4.166249931E-2,-2.873750031E-2
7.253037864E0,-2.337499987E-3,-1.027124971E-1,-3.629999980E-2
7.273037864E0,-8.249999955E-3,-1.157749966E-1,-4.235000163E-2
7.293037864E0,-3.066249937E-2,-1.016125008E-1,-3.575000167E-2
7.313037864E0,-4.936249927E-2,-6.682500243E-2,2.887500077E-2
7.333037864E0,-5.059999973E-2,-5.747500062E-2,4.001250118E-2
7.353037864E0,-4.881250113E-2,-3.464999795E-2,6.847500056E-2
7.373037864E0,-4.221250117E-2,-2.007500082E-2,1.040875018E-1
7.393037864E0,-4.015000165E-2,-1.718750037E-2,9.638749808E-2
7.413037864E0,-3.079999983E-2,-1.429999992E-2,7.617499679E-2
7.433037864E0,-1.471249945E-2,-9.899999946E-3,4.812499881E-2
7.453037864E0,-8.249999955E-3,-8.799999952E-3,3.671250120E-2
7.473037864E0,1.526249945E-2,-5.362499971E-3,-6.874999963E-4
7.493037864E0,3.684999794E-2,9.624999948E-4,-3.739999980E-2
7.513037864E0,3.547500074E-2,1.787499990E-3,-3.767500073E-2
7.533037864E0,2.584999986E-2,5.912499968E-3,-3.121249937E-2
7.553037864E0,1.031249948E-2,6.187499966E-3,-4.936249927E-2
7.573037864E0,6.462499965E-3,6.187499966E-3,-5.527500063E-2
7.593037864E0,4.124999978E-4,7.837500423E-3,-4.977500066E-2
